GeoID,Years,GeoType,TotalPop,PctRural,PctAge65plus,PctMinority,PctHispanic,PctBlackNH,PctAPINH,Pct_forborn,PctDisabled,PctEducLHS,PctEducBchPlus,Pct100Pov,PctNoHealthIns,N_BINGE,N_CSMOKING,N_LPA,N_OBESITY,N_CERVICAL,N_MAMMOUSE,N_COLON_SCREEN,N_COREM,N_COREW,N_CHECKUP,RPL_EJI,RPL_SVI
34017,01yr,County,634266,0,11.73575695,69.18,42.23,11.24,13.24,41.91,7.13,17.1,37.5,17.51,19.4,16.25861989,13.11130425,27.37149508,25.87452236,80.64057824,76.67078718,62.26127823,30.98827763,33.25088354,71.11993738,0.65,0.8
34017,05yrs,County,634266,0,11.73575695,69.18,42.23,11.24,13.24,41.91,7.13,17.1,37.5,17.51,19.4,16.25861989,13.11130425,27.37149508,25.87452236,80.64057824,76.67078718,62.26127823,30.98827763,33.25088354,71.11993738,0.65,0.8
34017,10yrs,County,634266,0,11.73575695,69.18,42.23,11.24,13.24,41.91,7.13,17.1,37.5,17.51,19.4,16.25861989,13.11130425,27.37149508,25.87452236,80.64057824,76.67078718,62.26127823,30.98827763,33.25088354,71.11993738,0.65,0.8
34019,01yr,County,128349,49.57,17.86457944,12.26,5.24,2.52,3.26,8.69,5.74,5.5,48.7,4.4,4.5,18.51939555,11.29285853,18.70143125,29.64238989,86.8794194,75.88357525,70.62625498,44.29152078,41.06836672,75.63739102,0.05,0
34019,05yrs,County,128349,49.57,17.86457944,12.26,5.24,2.52,3.26,8.69,5.74,5.5,48.7,4.4,4.5,18.51939555,11.29285853,18.70143125,29.64238989,86.8794194,75.88357525,70.62625498,44.29152078,41.06836672,75.63739102,0.05,0
34019,10yrs,County,128349,49.57,17.86457944,12.26,5.24,2.52,3.26,8.69,5.74,5.5,48.7,4.4,4.5,18.51939555,11.29285853,18.70143125,29.64238989,86.8794194,75.88357525,70.62625498,44.29152078,41.06836672,75.63739102,0.05,0
34021,01yr,County,366513,3.48,14.93906453,45.46,15.09,19.47,8.92,21.48,8.12,12.6,39.6,11.47,10.4,15.21484368,14.68104433,23.77783571,24.40422031,85.06229411,80.39779271,69.02206716,34.60680085,39.8864997,71.6987864,0.55,0.7
34021,05yrs,County,366513,3.48,14.93906453,45.46,15.09,19.47,8.92,21.48,8.12,12.6,39.6,11.47,10.4,15.21484368,14.68104433,23.77783571,24.40422031,85.06229411,80.39779271,69.02206716,34.60680085,39.8864997,71.6987864,0.55,0.7
34021,10yrs,County,366513,3.48,14.93906453,45.46,15.09,19.47,8.92,21.48,8.12,12.6,39.6,11.47,10.4,15.21484368,14.68104433,23.77783571,24.40422031,85.06229411,80.39779271,69.02206716,34.60680085,39.8864997,71.6987864,0.55,0.7
34023,01yr,County,809858,0.67,14.6771381,50.77,18.4,8.84,21.32,31.89,5.99,11.2,41,8.83,11.5,14.04432098,11.67781537,22.24811918,28.98183311,82.63677892,77.02166479,65.98933381,42.11268247,35.1818946,74.01511549,0.5,0.55
